#       omega                  E                         P                            alpha             
     -2.00000e+02     8.831089e-01+2.068565e-05j   2.281061e+02+8.656030e+02j            9.801709e+02          
    -1.99600e+02     8.912930e-01+1.990047e-05j   2.318336e+02+8.719199e+02j            9.782583e+02          
    -1.99199e+02     8.995362e-01+1.910708e-05j   2.356019e+02+8.782753e+02j            9.763590e+02          
    -1.98799e+02     9.078389e-01+1.830579e-05j   2.394112e+02+8.846693e+02j            9.744729e+02          
    -1.98398e+02     9.162013e-01+1.749691e-05j   2.432620e+02+8.911020e+02j            9.725999e+02          
    -1.97998e+02     9.246236e-01+1.668074e-05j   2.471544e+02+8.975735e+02j            9.707399e+02          
    -1.97598e+02     9.331061e-01+1.585760e-05j   2.510889e+02+9.040841e+02j            9.688929e+02          
    -1.97197e+02     9.416489e-01+1.502782e-05j   2.550657e+02+9.106337e+02j            9.670586e+02          
    -1.96797e+02     9.502524e-01+1.419170e-05j   2.590852e+02+9.172227e+02j            9.652371e+02          
    -1.96396e+02     9.589167e-01+1.334958e-05j   2.631477e+02+9.238510e+02j            9.634282e+02          
    -1.95996e+02     9.676421e-01+1.250178e-05j   2.672536e+02+9.305189e+02j            9.616318e+02          
    -1.95596e+02     9.764289e-01+1.164863e-05j   2.714031e+02+9.372265e+02j            9.598479e+02          
    -1.95195e+02     9.852772e-01+1.079045e-05j   2.755965e+02+9.439738e+02j            9.580764e+02          
    -1.94795e+02     9.941873e-01+9.927589e-06j   2.798343e+02+9.507612e+02j            9.563172e+02          
    -1.94394e+02     1.003159e+00+9.060374e-06j   2.841168e+02+9.575886e+02j            9.545701e+02          
    -1.93994e+02     1.012194e+00+8.189143e-06j   2.884441e+02+9.644562e+02j            9.528352e+02          
    -1.93594e+02     1.021291e+00+7.314234e-06j   2.928168e+02+9.713641e+02j            9.511123e+02          
    -1.93193e+02     1.030450e+00+6.435988e-06j   2.972352e+02+9.783126e+02j            9.494014e+02          
    -1.92793e+02     1.039673e+00+5.554746e-06j   3.016995e+02+9.853016e+02j            9.477023e+02          
    -1.92392e+02     1.048958e+00+4.670853e-06j   3.062101e+02+9.923314e+02j            9.460150e+02          
    -1.91992e+02     1.058307e+00+3.784652e-06j   3.107674e+02+9.994021e+02j            9.443394e+02          
    -1.91592e+02     1.067719e+00+2.896489e-06j   3.153716e+02+1.006514e+03j            9.426754e+02          
    -1.91191e+02     1.077196e+00+2.006711e-06j   3.200232e+02+1.013667e+03j            9.410230e+02          
    -1.90791e+02     1.086736e+00+1.115665e-06j   3.247224e+02+1.020861e+03j            9.393820e+02          
    -1.90390e+02     1.096340e+00+2.237000e-07j   3.294696e+02+1.028096e+03j            9.377524e+02          
